chapitre,sens,annee,valeur,poids,edition
Animaux vivants,export,2019,110,7,2023
Animaux vivants,export,2020,146,9,2023
Animaux vivants,export,2021,45,3,2023
Animaux vivants,export,2022,25,1,2023
Animaux vivants,export,2023,57,6,2023
Viandes et abats comestibles,export,2019,1056,1375,2023
Viandes et abats comestibles,export,2020,127,30,2023
Viandes et abats comestibles,export,2021,132,29,2023
Viandes et abats comestibles,export,2022,124,28,2023
Viandes et abats comestibles,export,2023,149,31,2023
"Poissons et crustacés, mollusques et autres invertébrés aquatiques",export,2019,290663,306894,2023
"Poissons et crustacés, mollusques et autres invertébrés aquatiques",export,2020,248106,328575,2023
"Poissons et crustacés, mollusques et autres invertébrés aquatiques",export,2021,301232,307054,2023
"Poissons et crustacés, mollusques et autres invertébrés aquatiques",export,2022,376688,285824,2023
"Poissons et crustacés, mollusques et autres invertébrés aquatiques",export,2023,297867,260407,2023
"Lait, oeufs d'oiseaux, miel, produits comestibles d'animaux n.d.c.a.",export,2019,3458,3519,2023
"Lait, oeufs d'oiseaux, miel, produits comestibles d'animaux n.d.c.a.",export,2020,5675,3993,2023
"Lait, oeufs d'oiseaux, miel, produits comestibles d'animaux n.d.c.a.",export,2021,5546,3969,2023
"Lait, oeufs d'oiseaux, miel, produits comestibles d'animaux n.d.c.a.",export,2022,7290,5040,2023
"Lait, oeufs d'oiseaux, miel, produits comestibles d'animaux n.d.c.a.",export,2023,19592,6298,2023
"Autres produits d'origine animale, non dénommés ni compris ailleurs",export,2019,61,192,2023
"Autres produits d'origine animale, non dénommés ni compris ailleurs",export,2020,120,225,2023
"Autres produits d'origine animale, non dénommés ni compris ailleurs",export,2021,446,608,2023
"Autres produits d'origine animale, non dénommés ni compris ailleurs",export,2022,600,412,2023
"Autres produits d'origine animale, non dénommés ni compris ailleurs",export,2023,617,604,2023
Plantes vivantes et produits de la floriculture,export,2019,408,216,2023
Plantes vivantes et produits de la floriculture,export,2020,487,229,2023
Plantes vivantes et produits de la floriculture,export,2021,523,287,2023
Plantes vivantes et produits de la floriculture,export,2022,317,186,2023
Plantes vivantes et produits de la floriculture,export,2023,796,374,2023
"Légumes, plantes, racines et tubercules alimentaires",export,2019,41010,60428,2023
"Légumes, plantes, racines et tubercules alimentaires",export,2020,51164,66004,2023
"Légumes, plantes, racines et tubercules alimentaires",export,2021,60282,112228,2023
"Légumes, plantes, racines et tubercules alimentaires",export,2022,53360,66532,2023
"Légumes, plantes, racines et tubercules alimentaires",export,2023,66275,77355,2023
"Fruits comestibles, écorces d'agrumes ou de melons",export,2019,58871,114953,2023
"Fruits comestibles, écorces d'agrumes ou de melons",export,2020,42652,88026,2023
"Fruits comestibles, écorces d'agrumes ou de melons",export,2021,83801,141528,2023
"Fruits comestibles, écorces d'agrumes ou de melons",export,2022,90492,154728,2023
"Fruits comestibles, écorces d'agrumes ou de melons",export,2023,105749,237776,2023
"Café, thé, maté et épices",export,2019,1189,1456,2023
"Café, thé, maté et épices",export,2020,1334,1577,2023
"Café, thé, maté et épices",export,2021,1114,1401,2023
"Café, thé, maté et épices",export,2022,1929,1458,2023
"Café, thé, maté et épices",export,2023,664,2157,2023
Céréales,export,2019,30918,135710,2023
Céréales,export,2020,15205,64931,2023
Céréales,export,2021,25692,104495,2023
Céréales,export,2022,30457,111984,2023
Céréales,export,2023,26088,90454,2023
"Produits de la minoterie, malt, amidons et fécules, inuline, gluten de froment",export,2019,3039,11386,2023
"Produits de la minoterie, malt, amidons et fécules, inuline, gluten de froment",export,2020,3375,12401,2023
"Produits de la minoterie, malt, amidons et fécules, inuline, gluten de froment",export,2021,8485,30864,2023
"Produits de la minoterie, malt, amidons et fécules, inuline, gluten de froment",export,2022,5195,14801,2023
"Produits de la minoterie, malt, amidons et fécules, inuline, gluten de froment",export,2023,816,811,2023
"Oléagineux, graines, semences, plantes industrielles, médicinales, pailles",export,2019,114488,330991,2023
"Oléagineux, graines, semences, plantes industrielles, médicinales, pailles",export,2020,116909,271663,2023
"Oléagineux, graines, semences, plantes industrielles, médicinales, pailles",export,2021,160889,347676,2023
"Oléagineux, graines, semences, plantes industrielles, médicinales, pailles",export,2022,89745,187159,2023
"Oléagineux, graines, semences, plantes industrielles, médicinales, pailles",export,2023,70270,126645,2023
"Gommes, résines et autres sucs et extraits végétaux",export,2019,714,2435,2023
"Gommes, résines et autres sucs et extraits végétaux",export,2020,1463,4228,2023
"Gommes, résines et autres sucs et extraits végétaux",export,2021,561,875,2023
"Gommes, résines et autres sucs et extraits végétaux",export,2022,12725,4039,2023
"Gommes, résines et autres sucs et extraits végétaux",export,2023,1259,3310,2023
Matières à tresser et autres produits d'origine végétale n.d.c.a.,export,2019,24,32,2023
Matières à tresser et autres produits d'origine végétale n.d.c.a.,export,2020,18,8,2023
Matières à tresser et autres produits d'origine végétale n.d.c.a.,export,2021,22,15,2023
Matières à tresser et autres produits d'origine végétale n.d.c.a.,export,2022,30,30,2023
Matières à tresser et autres produits d'origine végétale n.d.c.a.,export,2023,35,34,2023
"Graisses, huiles, cires (animales et végétales), graisses alimentaires",export,2019,46831,72292,2023
"Graisses, huiles, cires (animales et végétales), graisses alimentaires",export,2020,9829,12292,2023
"Graisses, huiles, cires (animales et végétales), graisses alimentaires",export,2021,18096,17731,2023
"Graisses, huiles, cires (animales et végétales), graisses alimentaires",export,2022,23947,21733,2023
"Graisses, huiles, cires (animales et végétales), graisses alimentaires",export,2023,13163,10112,2023
"Préparations de viandes, poissons, crustacés, mollusques",export,2019,40252,11727,2023
"Préparations de viandes, poissons, crustacés, mollusques",export,2020,30062,10444,2023
"Préparations de viandes, poissons, crustacés, mollusques",export,2021,11901,5108,2023
"Préparations de viandes, poissons, crustacés, mollusques",export,2022,46750,13904,2023
"Préparations de viandes, poissons, crustacés, mollusques",export,2023,47461,13591,2023
Sucres et sucreries,export,2019,3928,5441,2023
Sucres et sucreries,export,2020,3074,4731,2023
Sucres et sucreries,export,2021,3314,3649,2023
Sucres et sucreries,export,2022,3134,2738,2023
Sucres et sucreries,export,2023,2413,1527,2023
Cacao et ses préparations,export,2019,4595,4601,2023
Cacao et ses préparations,export,2020,3815,3883,2023
Cacao et ses préparations,export,2021,3310,3210,2023
Cacao et ses préparations,export,2022,4058,3259,2023
Cacao et ses préparations,export,2023,4255,3054,2023
"Préparations à base de céréales et dérivés, pâtisseries",export,2019,20548,22326,2023
"Préparations à base de céréales et dérivés, pâtisseries",export,2020,32230,34373,2023
"Préparations à base de céréales et dérivés, pâtisseries",export,2021,26441,25820,2023
"Préparations à base de céréales et dérivés, pâtisseries",export,2022,58172,67350,2023
"Préparations à base de céréales et dérivés, pâtisseries",export,2023,31496,24208,2023
"Préparations de légumes, de fruits ou d'autres parties de plantes",export,2019,7111,12717,2023
"Préparations de légumes, de fruits ou d'autres parties de plantes",export,2020,6750,11532,2023
"Préparations de légumes, de fruits ou d'autres parties de plantes",export,2021,7989,14930,2023
"Préparations de légumes, de fruits ou d'autres parties de plantes",export,2022,8838,23216,2023
"Préparations de légumes, de fruits ou d'autres parties de plantes",export,2023,7020,9128,2023
Préparations alimentaires diverses,export,2019,84765,80131,2023
Préparations alimentaires diverses,export,2020,85393,79222,2023
Préparations alimentaires diverses,export,2021,95262,90883,2023
Préparations alimentaires diverses,export,2022,117383,92734,2023
Préparations alimentaires diverses,export,2023,105834,78389,2023
"Boissons, liquides alcooliques et vinaigres",export,2019,4925,11758,2023
"Boissons, liquides alcooliques et vinaigres",export,2020,12670,27796,2023
"Boissons, liquides alcooliques et vinaigres",export,2021,10085,23498,2023
"Boissons, liquides alcooliques et vinaigres",export,2022,9616,18734,2023
"Boissons, liquides alcooliques et vinaigres",export,2023,13791,24711,2023
"Résidus, déchets des industries alimentaires, aliments préparés pour animaux",export,2019,4414,18260,2023
"Résidus, déchets des industries alimentaires, aliments préparés pour animaux",export,2020,4373,16930,2023
"Résidus, déchets des industries alimentaires, aliments préparés pour animaux",export,2021,4912,15351,2023
"Résidus, déchets des industries alimentaires, aliments préparés pour animaux",export,2022,7331,19678,2023
"Résidus, déchets des industries alimentaires, aliments préparés pour animaux",export,2023,11312,21806,2023
Tabacs et succédanés de tabacs fabriqués,export,2019,43444,4984,2023
Tabacs et succédanés de tabacs fabriqués,export,2020,36056,3746,2023
Tabacs et succédanés de tabacs fabriqués,export,2021,46400,5132,2023
Tabacs et succédanés de tabacs fabriqués,export,2022,27130,2837,2023
Tabacs et succédanés de tabacs fabriqués,export,2023,33926,2553,2023
"Sel, soufre, terres et pierres, plâtres, chaux et ciments",export,2019,113494,3017873,2023
"Sel, soufre, terres et pierres, plâtres, chaux et ciments",export,2020,100201,2661267,2023
"Sel, soufre, terres et pierres, plâtres, chaux et ciments",export,2021,127410,3458657,2023
"Sel, soufre, terres et pierres, plâtres, chaux et ciments",export,2022,162450,3034853,2023
"Sel, soufre, terres et pierres, plâtres, chaux et ciments",export,2023,193604,3590556,2023
"Minerais, scories et cendres",export,2019,115412,614799,2023
"Minerais, scories et cendres",export,2020,116206,594538,2023
"Minerais, scories et cendres",export,2021,150328,679787,2023
"Minerais, scories et cendres",export,2022,203589,598891,2023
"Minerais, scories et cendres",export,2023,146829,477861,2023
"Combustibles minéraux, huiles, cires minérales, matières bitumineuses",export,2019,487101,1359772,2023
"Combustibles minéraux, huiles, cires minérales, matières bitumineuses",export,2020,361527,1325920,2023
"Combustibles minéraux, huiles, cires minérales, matières bitumineuses",export,2021,447902,1376590,2023
"Combustibles minéraux, huiles, cires minérales, matières bitumineuses",export,2022,650440,1079577,2023
"Combustibles minéraux, huiles, cires minérales, matières bitumineuses",export,2023,692401,1256226,2023
"Produits chimiques inorganiques, composés de métaux ou radioactifs",export,2019,199508,538689,2023
"Produits chimiques inorganiques, composés de métaux ou radioactifs",export,2020,155467,493872,2023
"Produits chimiques inorganiques, composés de métaux ou radioactifs",export,2021,269869,489505,2023
"Produits chimiques inorganiques, composés de métaux ou radioactifs",export,2022,476808,569259,2023
"Produits chimiques inorganiques, composés de métaux ou radioactifs",export,2023,268849,506850,2023
Produits chimiques organiques,export,2019,3900,3920,2023
Produits chimiques organiques,export,2020,4444,4927,2023
Produits chimiques organiques,export,2021,5092,4950,2023
Produits chimiques organiques,export,2022,6542,4367,2023
Produits chimiques organiques,export,2023,5709,3503,2023
Produits pharmaceutiques,export,2019,4783,1030,2023
Produits pharmaceutiques,export,2020,1832,179,2023
Produits pharmaceutiques,export,2021,1145,203,2023
Produits pharmaceutiques,export,2022,1041,241,2023
Produits pharmaceutiques,export,2023,1466,224,2023
Engrais,export,2019,29452,135510,2023
Engrais,export,2020,21258,111358,2023
Engrais,export,2021,33056,121970,2023
Engrais,export,2022,9318,30411,2023
Engrais,export,2023,37786,130509,2023
"Extraits tannants ou tinctoriaux, tanins, colorants, vernis, mastics, encres",export,2019,913,621,2023
"Extraits tannants ou tinctoriaux, tanins, colorants, vernis, mastics, encres",export,2020,538,525,2023
"Extraits tannants ou tinctoriaux, tanins, colorants, vernis, mastics, encres",export,2021,1314,967,2023
"Extraits tannants ou tinctoriaux, tanins, colorants, vernis, mastics, encres",export,2022,2682,2017,2023
"Extraits tannants ou tinctoriaux, tanins, colorants, vernis, mastics, encres",export,2023,2798,3853,2023
"Huiles essentielles, résinoïdes, produits de parfumerie, cosmétiques",export,2019,42477,26062,2023
"Huiles essentielles, résinoïdes, produits de parfumerie, cosmétiques",export,2020,44968,29138,2023
"Huiles essentielles, résinoïdes, produits de parfumerie, cosmétiques",export,2021,45789,28726,2023
"Huiles essentielles, résinoïdes, produits de parfumerie, cosmétiques",export,2022,55128,29510,2023
"Huiles essentielles, résinoïdes, produits de parfumerie, cosmétiques",export,2023,52024,25788,2023
"Savons, lubrifiants, cires artificielles, bougies, cires dentaires",export,2019,13057,17481,2023
"Savons, lubrifiants, cires artificielles, bougies, cires dentaires",export,2020,15792,24702,2023
"Savons, lubrifiants, cires artificielles, bougies, cires dentaires",export,2021,14754,20439,2023
"Savons, lubrifiants, cires artificielles, bougies, cires dentaires",export,2022,14182,18419,2023
"Savons, lubrifiants, cires artificielles, bougies, cires dentaires",export,2023,13066,16568,2023
"Matières albuminoïdes, préparations à base d'amidons ou fécules, colles",export,2019,378,262,2023
"Matières albuminoïdes, préparations à base d'amidons ou fécules, colles",export,2020,409,128,2023
"Matières albuminoïdes, préparations à base d'amidons ou fécules, colles",export,2021,469,220,2023
"Matières albuminoïdes, préparations à base d'amidons ou fécules, colles",export,2022,1133,742,2023
"Matières albuminoïdes, préparations à base d'amidons ou fécules, colles",export,2023,1179,495,2023
"Poudres, explosifs, articles de pyrotechnie, allumettes, matières inflammables",export,2019,617,91,2023
"Poudres, explosifs, articles de pyrotechnie, allumettes, matières inflammables",export,2020,170,105,2023
"Poudres, explosifs, articles de pyrotechnie, allumettes, matières inflammables",export,2021,37,10,2023
"Poudres, explosifs, articles de pyrotechnie, allumettes, matières inflammables",export,2022,5,2,2023
"Poudres, explosifs, articles de pyrotechnie, allumettes, matières inflammables",export,2023,18,19,2023
Produits photographiques ou cinématographiques,export,2019,0,1,2023
Produits photographiques ou cinématographiques,export,2020,,,2023
Produits photographiques ou cinématographiques,export,2021,1,0,2023
Produits photographiques ou cinématographiques,export,2022,,,2023
Produits photographiques ou cinématographiques,export,2023,18,0,2023
Produits divers des industries chimiques,export,2019,9229,7414,2023
Produits divers des industries chimiques,export,2020,7380,4522,2023
Produits divers des industries chimiques,export,2021,10718,7381,2023
Produits divers des industries chimiques,export,2022,10271,5093,2023
Produits divers des industries chimiques,export,2023,10556,6039,2023
Matières plastiques et ouvrages en ces matières,export,2019,19401,23929,2023
Matières plastiques et ouvrages en ces matières,export,2020,22032,32255,2023
Matières plastiques et ouvrages en ces matières,export,2021,21545,27054,2023
Matières plastiques et ouvrages en ces matières,export,2022,24471,24554,2023
Matières plastiques et ouvrages en ces matières,export,2023,18924,18810,2023
Caoutchouc et ouvrages en caoutchouc,export,2019,3425,1341,2023
Caoutchouc et ouvrages en caoutchouc,export,2020,3876,1376,2023
Caoutchouc et ouvrages en caoutchouc,export,2021,4045,2526,2023
Caoutchouc et ouvrages en caoutchouc,export,2022,4419,1278,2023
Caoutchouc et ouvrages en caoutchouc,export,2023,5176,1286,2023
Peaux (autres que les pelleteries) et cuirs,export,2019,3929,5244,2023
Peaux (autres que les pelleteries) et cuirs,export,2020,2660,2497,2023
Peaux (autres que les pelleteries) et cuirs,export,2021,1964,1301,2023
Peaux (autres que les pelleteries) et cuirs,export,2022,1572,1364,2023
Peaux (autres que les pelleteries) et cuirs,export,2023,356,561,2023
"Ouvrages en cuir, articles de bourrellerie, sellerie, voyage ou en boyaux",export,2019,43,6,2023
"Ouvrages en cuir, articles de bourrellerie, sellerie, voyage ou en boyaux",export,2020,39,37,2023
"Ouvrages en cuir, articles de bourrellerie, sellerie, voyage ou en boyaux",export,2021,103,96,2023
"Ouvrages en cuir, articles de bourrellerie, sellerie, voyage ou en boyaux",export,2022,94,40,2023
"Ouvrages en cuir, articles de bourrellerie, sellerie, voyage ou en boyaux",export,2023,311,53,2023
"Pelleteries et fourrures, pelleteries factices",export,2019,1,1,2023
"Pelleteries et fourrures, pelleteries factices",export,2020,,,2023
"Pelleteries et fourrures, pelleteries factices",export,2021,0,0,2023
"Pelleteries et fourrures, pelleteries factices",export,2022,,,2023
"Pelleteries et fourrures, pelleteries factices",export,2023,,,2023
"Bois, charbon de bois et ouvrages en bois",export,2019,3330,37629,2023
"Bois, charbon de bois et ouvrages en bois",export,2020,3590,45281,2023
"Bois, charbon de bois et ouvrages en bois",export,2021,4918,40196,2023
"Bois, charbon de bois et ouvrages en bois",export,2022,3559,13775,2023
"Bois, charbon de bois et ouvrages en bois",export,2023,2505,3973,2023
Liège et ouvrages en liège,export,2019,,,2023
Liège et ouvrages en liège,export,2020,,,2023
Liège et ouvrages en liège,export,2021,0,2,2023
Liège et ouvrages en liège,export,2022,,,2023
Liège et ouvrages en liège,export,2023,0,1,2023
Ouvrages de sparterie ou de vannerie,export,2019,2249,895,2023
Ouvrages de sparterie ou de vannerie,export,2020,1821,905,2023
Ouvrages de sparterie ou de vannerie,export,2021,2244,1321,2023
Ouvrages de sparterie ou de vannerie,export,2022,2775,1559,2023
Ouvrages de sparterie ou de vannerie,export,2023,2547,1497,2023
Matières cellulosiques servant à la fabrication du papier,export,2019,118,152,2023
Matières cellulosiques servant à la fabrication du papier,export,2020,18,196,2023
Matières cellulosiques servant à la fabrication du papier,export,2021,33,357,2023
Matières cellulosiques servant à la fabrication du papier,export,2022,239,1136,2023
Matières cellulosiques servant à la fabrication du papier,export,2023,,,2023
"Papiers et cartons, ouvrages en pâte de cellulose, en papier ou carton",export,2019,8477,9695,2023
"Papiers et cartons, ouvrages en pâte de cellulose, en papier ou carton",export,2020,10883,14074,2023
"Papiers et cartons, ouvrages en pâte de cellulose, en papier ou carton",export,2021,21202,31380,2023
"Papiers et cartons, ouvrages en pâte de cellulose, en papier ou carton",export,2022,11302,12984,2023
"Papiers et cartons, ouvrages en pâte de cellulose, en papier ou carton",export,2023,11900,24741,2023
"Produits d'édition, presse, arts graphiques, manuscrits, plans",export,2019,1036,220,2023
"Produits d'édition, presse, arts graphiques, manuscrits, plans",export,2020,517,122,2023
"Produits d'édition, presse, arts graphiques, manuscrits, plans",export,2021,892,215,2023
"Produits d'édition, presse, arts graphiques, manuscrits, plans",export,2022,1204,223,2023
"Produits d'édition, presse, arts graphiques, manuscrits, plans",export,2023,873,196,2023
Soie,export,2019,,,2023
Soie,export,2020,,,2023
Soie,export,2021,,,2023
Soie,export,2022,10,9,2023
Soie,export,2023,21,13,2023
"Laine, poils fins ou grossiers, fils et tissus de crin",export,2019,,,2023
"Laine, poils fins ou grossiers, fils et tissus de crin",export,2020,,,2023
"Laine, poils fins ou grossiers, fils et tissus de crin",export,2021,,,2023
"Laine, poils fins ou grossiers, fils et tissus de crin",export,2022,,,2023
"Laine, poils fins ou grossiers, fils et tissus de crin",export,2023,,,2023
Coton,export,2019,7058,8045,2023
Coton,export,2020,5826,6796,2023
Coton,export,2021,9012,9155,2023
Coton,export,2022,12587,8946,2023
Coton,export,2023,8447,6005,2023
"Autres fibres textiles végétales, fils de papier, tissus de fils de papier",export,2019,41,30,2023
"Autres fibres textiles végétales, fils de papier, tissus de fils de papier",export,2020,,,2023
"Autres fibres textiles végétales, fils de papier, tissus de fils de papier",export,2021,2,1,2023
"Autres fibres textiles végétales, fils de papier, tissus de fils de papier",export,2022,0,0,2023
"Autres fibres textiles végétales, fils de papier, tissus de fils de papier",export,2023,,,2023
Filaments synthétiques ou artificiels,export,2019,981,196,2023
Filaments synthétiques ou artificiels,export,2020,1177,231,2023
Filaments synthétiques ou artificiels,export,2021,1757,347,2023
Filaments synthétiques ou artificiels,export,2022,726,278,2023
Filaments synthétiques ou artificiels,export,2023,114,55,2023
Fibres synthétiques ou artificielles discontinues,export,2019,15605,4493,2023
Fibres synthétiques ou artificielles discontinues,export,2020,20482,5912,2023
Fibres synthétiques ou artificielles discontinues,export,2021,22053,6659,2023
Fibres synthétiques ou artificielles discontinues,export,2022,23110,6115,2023
Fibres synthétiques ou artificielles discontinues,export,2023,24890,6229,2023
"Ouates, feutres, non tissés, fils spéciaux, ficelles, cordes, cordages, corderie",export,2019,1705,395,2023
"Ouates, feutres, non tissés, fils spéciaux, ficelles, cordes, cordages, corderie",export,2020,2130,516,2023
"Ouates, feutres, non tissés, fils spéciaux, ficelles, cordes, cordages, corderie",export,2021,1481,429,2023
"Ouates, feutres, non tissés, fils spéciaux, ficelles, cordes, cordages, corderie",export,2022,500,611,2023
"Ouates, feutres, non tissés, fils spéciaux, ficelles, cordes, cordages, corderie",export,2023,331,236,2023
Tapis et autres revêtements de sol en matières textiles,export,2019,10,15,2023
Tapis et autres revêtements de sol en matières textiles,export,2020,37,61,2023
Tapis et autres revêtements de sol en matières textiles,export,2021,31,78,2023
Tapis et autres revêtements de sol en matières textiles,export,2022,33,54,2023
Tapis et autres revêtements de sol en matières textiles,export,2023,13,16,2023
"Tissus spéciaux, dentelles, tapisseries, passementeries, broderies",export,2019,17,16,2023
"Tissus spéciaux, dentelles, tapisseries, passementeries, broderies",export,2020,14,3,2023
"Tissus spéciaux, dentelles, tapisseries, passementeries, broderies",export,2021,18,20,2023
"Tissus spéciaux, dentelles, tapisseries, passementeries, broderies",export,2022,1,2,2023
"Tissus spéciaux, dentelles, tapisseries, passementeries, broderies",export,2023,13,4,2023
"Tissus imprégnés, recouverts, stratifiés, articles techniques en textiles",export,2019,,,2023
"Tissus imprégnés, recouverts, stratifiés, articles techniques en textiles",export,2020,0,1,2023
"Tissus imprégnés, recouverts, stratifiés, articles techniques en textiles",export,2021,51,101,2023
"Tissus imprégnés, recouverts, stratifiés, articles techniques en textiles",export,2022,159,69,2023
"Tissus imprégnés, recouverts, stratifiés, articles techniques en textiles",export,2023,28,2,2023
Étoffes de bonneterie,export,2019,2,0,2023
Étoffes de bonneterie,export,2020,,,2023
Étoffes de bonneterie,export,2021,,,2023
Étoffes de bonneterie,export,2022,,,2023
Étoffes de bonneterie,export,2023,1,0,2023
"Vêtements et accessoires du vêtement, en bonneterie",export,2019,166,88,2023
"Vêtements et accessoires du vêtement, en bonneterie",export,2020,378,198,2023
"Vêtements et accessoires du vêtement, en bonneterie",export,2021,232,122,2023
"Vêtements et accessoires du vêtement, en bonneterie",export,2022,229,113,2023
"Vêtements et accessoires du vêtement, en bonneterie",export,2023,414,195,2023
"Vêtements et accessoires du vêtement, autres qu'en bonneterie",export,2019,210,156,2023
"Vêtements et accessoires du vêtement, autres qu'en bonneterie",export,2020,1430,182,2023
"Vêtements et accessoires du vêtement, autres qu'en bonneterie",export,2021,314,321,2023
"Vêtements et accessoires du vêtement, autres qu'en bonneterie",export,2022,414,251,2023
"Vêtements et accessoires du vêtement, autres qu'en bonneterie",export,2023,801,489,2023
"Autres articles textiles confectionnés, assortiments, friperie et chiffons",export,2019,2109,2213,2023
"Autres articles textiles confectionnés, assortiments, friperie et chiffons",export,2020,2130,1585,2023
"Autres articles textiles confectionnés, assortiments, friperie et chiffons",export,2021,2659,2498,2023
"Autres articles textiles confectionnés, assortiments, friperie et chiffons",export,2022,1943,1064,2023
"Autres articles textiles confectionnés, assortiments, friperie et chiffons",export,2023,2931,1237,2023
"Chaussures, guêtres et articles analogues, parties de ces objets",export,2019,3367,3919,2023
"Chaussures, guêtres et articles analogues, parties de ces objets",export,2020,5433,5609,2023
"Chaussures, guêtres et articles analogues, parties de ces objets",export,2021,6157,5859,2023
"Chaussures, guêtres et articles analogues, parties de ces objets",export,2022,7203,6017,2023
"Chaussures, guêtres et articles analogues, parties de ces objets",export,2023,5406,5018,2023
Coiffures et parties de coiffures,export,2019,3,0,2023
Coiffures et parties de coiffures,export,2020,45,30,2023
Coiffures et parties de coiffures,export,2021,75,6,2023
Coiffures et parties de coiffures,export,2022,19,2,2023
Coiffures et parties de coiffures,export,2023,68,5,2023
"Parapluies, parasols, cannes, fouets, cravaches et leurs parties",export,2019,1,0,2023
"Parapluies, parasols, cannes, fouets, cravaches et leurs parties",export,2020,2,0,2023
"Parapluies, parasols, cannes, fouets, cravaches et leurs parties",export,2021,0,1,2023
"Parapluies, parasols, cannes, fouets, cravaches et leurs parties",export,2022,0,1,2023
"Parapluies, parasols, cannes, fouets, cravaches et leurs parties",export,2023,0,1,2023
"Plumes apprêtées, fleurs artificielles, ouvrages en cheveux",export,2019,21029,5156,2023
"Plumes apprêtées, fleurs artificielles, ouvrages en cheveux",export,2020,33466,9250,2023
"Plumes apprêtées, fleurs artificielles, ouvrages en cheveux",export,2021,37725,10149,2023
"Plumes apprêtées, fleurs artificielles, ouvrages en cheveux",export,2022,42596,9644,2023
"Plumes apprêtées, fleurs artificielles, ouvrages en cheveux",export,2023,41110,9721,2023
"Ouvrages en pierres, plâtre, ciment, amiante, mica ou matières analogues",export,2019,217,241,2023
"Ouvrages en pierres, plâtre, ciment, amiante, mica ou matières analogues",export,2020,153,212,2023
"Ouvrages en pierres, plâtre, ciment, amiante, mica ou matières analogues",export,2021,346,648,2023
"Ouvrages en pierres, plâtre, ciment, amiante, mica ou matières analogues",export,2022,656,15665,2023
"Ouvrages en pierres, plâtre, ciment, amiante, mica ou matières analogues",export,2023,488,1427,2023
Produits céramiques,export,2019,237,2111,2023
Produits céramiques,export,2020,7782,100834,2023
Produits céramiques,export,2021,9319,103670,2023
Produits céramiques,export,2022,6582,75978,2023
Produits céramiques,export,2023,12846,90917,2023
Verre et ouvrages en verre,export,2019,1096,1892,2023
Verre et ouvrages en verre,export,2020,1091,1848,2023
Verre et ouvrages en verre,export,2021,1183,2087,2023
Verre et ouvrages en verre,export,2022,1748,2181,2023
Verre et ouvrages en verre,export,2023,1963,1912,2023
"Perles, pierres gemmes, métaux précieux, bijouterie fantaisie, monnaies",export,2019,376235,19,2023
"Perles, pierres gemmes, métaux précieux, bijouterie fantaisie, monnaies",export,2020,423077,59,2023
"Perles, pierres gemmes, métaux précieux, bijouterie fantaisie, monnaies",export,2021,540534,29,2023
"Perles, pierres gemmes, métaux précieux, bijouterie fantaisie, monnaies",export,2022,581666,94,2023
"Perles, pierres gemmes, métaux précieux, bijouterie fantaisie, monnaies",export,2023,530882,293,2023
"Fonte, fer et acier",export,2019,59796,166589,2023
"Fonte, fer et acier",export,2020,62814,185658,2023
"Fonte, fer et acier",export,2021,82161,215079,2023
"Fonte, fer et acier",export,2022,96708,212067,2023
"Fonte, fer et acier",export,2023,115607,158492,2023
"Ouvrages en fonte, fer ou acier",export,2019,7892,13765,2023
"Ouvrages en fonte, fer ou acier",export,2020,11157,16435,2023
"Ouvrages en fonte, fer ou acier",export,2021,10278,16271,2023
"Ouvrages en fonte, fer ou acier",export,2022,12510,14466,2023
"Ouvrages en fonte, fer ou acier",export,2023,13484,16056,2023
Cuivre et ouvrages en cuivre,export,2019,4336,2136,2023
Cuivre et ouvrages en cuivre,export,2020,3839,1481,2023
Cuivre et ouvrages en cuivre,export,2021,5874,41807,2023
Cuivre et ouvrages en cuivre,export,2022,8966,7354,2023
Cuivre et ouvrages en cuivre,export,2023,8994,2813,2023
Nickel et ouvrages en nickel,export,2019,2,0,2023
Nickel et ouvrages en nickel,export,2020,0,0,2023
Nickel et ouvrages en nickel,export,2021,23,9,2023
Nickel et ouvrages en nickel,export,2022,,,2023
Nickel et ouvrages en nickel,export,2023,4,0,2023
