region,sens,annee,valeur,poids,edition
Union européenne,export,2020,264641,459827,2024
Union européenne,export,2021,367932,662985,2024
Union européenne,export,2022,400303,681283,2024
Union européenne,export,2023,355703,759942,2024
Union européenne,export,2024,518489,1123994,2024
Autres pays d'Europe,export,2020,319254,372050,2024
Autres pays d'Europe,export,2021,463968,521649,2024
Autres pays d'Europe,export,2022,491109,343890,2024
Autres pays d'Europe,export,2023,437934,262368,2024
Autres pays d'Europe,export,2024,545826,518375,2024
Afrique centrale,export,2020,49637,51747,2024
Afrique centrale,export,2021,56135,47090,2024
Afrique centrale,export,2022,47261,46736,2024
Afrique centrale,export,2023,53404,44378,2024
Afrique centrale,export,2024,43047,37346,2024
Afrique du Nord,export,2020,9119,8828,2024
Afrique du Nord,export,2021,10175,9607,2024
Afrique du Nord,export,2022,19691,19828,2024
Afrique du Nord,export,2023,26575,22723,2024
Afrique du Nord,export,2024,38003,29022,2024
Afrique occidentale,export,2020,903808,4211467,2024
Afrique occidentale,export,2021,1078579,4768169,2024
Afrique occidentale,export,2022,1330147,4137996,2024
Afrique occidentale,export,2023,1322560,4568833,2024
Afrique occidentale,export,2024,1353306,4956104,2024
Afrique orientale et du Sud,export,2020,8194,96925,2024
Afrique orientale et du Sud,export,2021,7232,64160,2024
Afrique orientale et du Sud,export,2022,7353,4187,2024
Afrique orientale et du Sud,export,2023,6700,3391,2024
Afrique orientale et du Sud,export,2024,11809,27193,2024
Amérique du Nord,export,2020,68507,63799,2024
Amérique du Nord,export,2021,70741,145656,2024
Amérique du Nord,export,2022,104844,108531,2024
Amérique du Nord,export,2023,96709,70589,2024
Amérique du Nord,export,2024,136216,73456,2024
Amérique centrale et du Sud,export,2020,19979,108928,2024
Amérique centrale et du Sud,export,2021,43412,103182,2024
Amérique centrale et du Sud,export,2022,19592,59390,2024
Amérique centrale et du Sud,export,2023,25545,116950,2024
Amérique centrale et du Sud,export,2024,20512,129862,2024
Asie occidentale,export,2020,31867,118734,2024
Asie occidentale,export,2021,43590,186163,2024
Asie occidentale,export,2022,68506,189552,2024
Asie occidentale,export,2023,58694,6770,2024
Asie occidentale,export,2024,56779,3896,2024
Autres pays d'Asie,export,2020,374800,1021582,2024
Autres pays d'Asie,export,2021,533860,1244653,2024
Autres pays d'Asie,export,2022,798096,1170568,2024
Autres pays d'Asie,export,2023,568095,1303136,2024
Autres pays d'Asie,export,2024,865731,2282030,2024
Océanie,export,2020,124100,798,2024
Océanie,export,2021,122348,2292,2024
Océanie,export,2022,142974,3195,2024
Océanie,export,2023,109111,21789,2024
Océanie,export,2024,90111,2643,2024
Divers,export,2020,87440,276152,2024
Divers,export,2021,86830,282722,2024
Divers,export,2022,133483,204812,2024
Divers,export,2023,162900,247747,2024
Divers,export,2024,229229,415984,2024
Union européenne,import,2020,1881280,3909928,2024
Union européenne,import,2021,1900960,3416522,2024
Union européenne,import,2022,2683232,3728175,2024
Union européenne,import,2023,2397194,3252979,2024
Union européenne,import,2024,2278955,3085039,2024
Autres pays d'Europe,import,2020,524159,2573022,2024
Autres pays d'Europe,import,2021,734867,2752960,2024
Autres pays d'Europe,import,2022,893354,1892199,2024
Autres pays d'Europe,import,2023,815211,2600778,2024
Autres pays d'Europe,import,2024,947270,2326065,2024
Afrique centrale,import,2020,14528,64476,2024
Afrique centrale,import,2021,19410,78209,2024
Afrique centrale,import,2022,20020,81681,2024
Afrique centrale,import,2023,19600,85322,2024
Afrique centrale,import,2024,19859,79151,2024
Afrique du Nord,import,2020,143974,734261,2024
Afrique du Nord,import,2021,183143,992899,2024
Afrique du Nord,import,2022,212397,1368756,2024
Afrique du Nord,import,2023,279360,1005761,2024
Afrique du Nord,import,2024,241560,773967,2024
Afrique occidentale,import,2020,430081,1446164,2024
Afrique occidentale,import,2021,430163,1341406,2024
Afrique occidentale,import,2022,488753,918251,2024
Afrique occidentale,import,2023,756711,1680962,2024
Afrique occidentale,import,2024,448828,1109542,2024
Afrique orientale et du Sud,import,2020,59109,417091,2024
Afrique orientale et du Sud,import,2021,89996,462785,2024
Afrique orientale et du Sud,import,2022,174692,806501,2024
Afrique orientale et du Sud,import,2023,158727,879612,2024
Afrique orientale et du Sud,import,2024,148760,1015020,2024
Amérique du Nord,import,2020,140866,267805,2024
Amérique du Nord,import,2021,178182,267779,2024
Amérique du Nord,import,2022,227203,299816,2024
Amérique du Nord,import,2023,198649,228562,2024
Amérique du Nord,import,2024,223609,387742,2024
Amérique centrale et du Sud,import,2020,187933,861592,2024
Amérique centrale et du Sud,import,2021,221396,871067,2024
Amérique centrale et du Sud,import,2022,333430,1065816,2024
