pays,region,sens,annee,valeur,poids,edition
ALLEMAGNE,Union européenne,export,2020,4226,2818,2024
ALLEMAGNE,Union européenne,export,2021,1978,1989,2024
ALLEMAGNE,Union européenne,export,2022,2143,2663,2024
ALLEMAGNE,Union européenne,export,2023,3204,2414,2024
ALLEMAGNE,Union européenne,export,2024,17539,199091,2024
AUTRICHE,Union européenne,export,2020,140,65,2024
AUTRICHE,Union européenne,export,2021,104,37,2024
AUTRICHE,Union européenne,export,2022,117,31,2024
AUTRICHE,Union européenne,export,2023,75,25,2024
AUTRICHE,Union européenne,export,2024,621,94,2024
BELGIQUE,Union européenne,export,2020,27888,35169,2024
BELGIQUE,Union européenne,export,2021,12055,30298,2024
BELGIQUE,Union européenne,export,2022,31490,57998,2024
BELGIQUE,Union européenne,export,2023,20809,137287,2024
BELGIQUE,Union européenne,export,2024,9565,4464,2024
BULGARIE,Union européenne,export,2020,236,271,2024
BULGARIE,Union européenne,export,2021,418,254,2024
BULGARIE,Union européenne,export,2022,382,284,2024
BULGARIE,Union européenne,export,2023,308,143,2024
BULGARIE,Union européenne,export,2024,1325,1045,2024
CHYPRE,Union européenne,export,2020,153,19,2024
CHYPRE,Union européenne,export,2021,154,19,2024
CHYPRE,Union européenne,export,2022,2694,48,2024
CHYPRE,Union européenne,export,2023,753,134,2024
CHYPRE,Union européenne,export,2024,530,100,2024
CROATIE,Union européenne,export,2020,,,2024
CROATIE,Union européenne,export,2021,21,7,2024
CROATIE,Union européenne,export,2022,38,19,2024
CROATIE,Union européenne,export,2023,17,12,2024
CROATIE,Union européenne,export,2024,49,61,2024
DANEMARK,Union européenne,export,2020,1044,975,2024
DANEMARK,Union européenne,export,2021,206,105,2024
DANEMARK,Union européenne,export,2022,434,373,2024
DANEMARK,Union européenne,export,2023,993,1424,2024
DANEMARK,Union européenne,export,2024,1137,946,2024
ESPAGNE,Union européenne,export,2020,71743,91304,2024
ESPAGNE,Union européenne,export,2021,108600,157690,2024
ESPAGNE,Union européenne,export,2022,126676,108345,2024
ESPAGNE,Union européenne,export,2023,99469,90650,2024
ESPAGNE,Union européenne,export,2024,154051,247159,2024
FINLANDE,Union européenne,export,2020,10,1,2024
FINLANDE,Union européenne,export,2021,12,11,2024
FINLANDE,Union européenne,export,2022,12,10,2024
FINLANDE,Union européenne,export,2023,60,7,2024
FINLANDE,Union européenne,export,2024,18,1,2024
FRANCE,Union européenne,export,2020,44224,66772,2024
FRANCE,Union européenne,export,2021,49565,99683,2024
FRANCE,Union européenne,export,2022,47854,115236,2024
FRANCE,Union européenne,export,2023,51397,120329,2024
FRANCE,Union européenne,export,2024,54576,111983,2024
GRECE,Union européenne,export,2020,3969,913,2024
GRECE,Union européenne,export,2021,7832,1312,2024
GRECE,Union européenne,export,2022,13438,1164,2024
GRECE,Union européenne,export,2023,9942,1749,2024
GRECE,Union européenne,export,2024,9347,1455,2024
HONGRIE,Union européenne,export,2020,18,3,2024
HONGRIE,Union européenne,export,2021,8980,15,2024
HONGRIE,Union européenne,export,2022,1,1,2024
HONGRIE,Union européenne,export,2023,75,3,2024
HONGRIE,Union européenne,export,2024,,,2024
IRLANDE,Union européenne,export,2020,302,283,2024
IRLANDE,Union européenne,export,2021,,,2024
IRLANDE,Union européenne,export,2022,0,0,2024
IRLANDE,Union européenne,export,2023,22,5,2024
IRLANDE,Union européenne,export,2024,6,2,2024
ITALIE,Union européenne,export,2020,31077,20761,2024
ITALIE,Union européenne,export,2021,60659,26905,2024
ITALIE,Union européenne,export,2022,62840,24519,2024
ITALIE,Union européenne,export,2023,44823,17589,2024
ITALIE,Union européenne,export,2024,118546,235799,2024
LUXEMBOURG,Union européenne,export,2020,,,2024
LUXEMBOURG,Union européenne,export,2021,,,2024
LUXEMBOURG,Union européenne,export,2022,,,2024
LUXEMBOURG,Union européenne,export,2023,125,20,2024
LUXEMBOURG,Union européenne,export,2024,41,0,2024
MALTE,Union européenne,export,2020,99,57,2024
MALTE,Union européenne,export,2021,77,35,2024
MALTE,Union européenne,export,2022,80,77,2024
MALTE,Union européenne,export,2023,650,14,2024
MALTE,Union européenne,export,2024,1070,108,2024
PAYS BAS,Union européenne,export,2020,39549,133599,2024
PAYS BAS,Union européenne,export,2021,66199,209845,2024
PAYS BAS,Union européenne,export,2022,40907,72569,2024
PAYS BAS,Union européenne,export,2023,45221,182415,2024
PAYS BAS,Union européenne,export,2024,80183,185564,2024
POLOGNE,Union européenne,export,2020,998,23707,2024
POLOGNE,Union européenne,export,2021,775,23841,2024
POLOGNE,Union européenne,export,2022,15864,166196,2024
POLOGNE,Union européenne,export,2023,5442,42561,2024
POLOGNE,Union européenne,export,2024,119,120,2024
PORTUGAL,Union européenne,export,2020,2492,1419,2024
PORTUGAL,Union européenne,export,2021,4561,1706,2024
PORTUGAL,Union européenne,export,2022,8989,2729,2024
PORTUGAL,Union européenne,export,2023,10845,3650,2024
PORTUGAL,Union européenne,export,2024,10355,3891,2024
REPUBLIQUE D'ESTONIE,Union européenne,export,2020,,,2024
REPUBLIQUE D'ESTONIE,Union européenne,export,2021,,,2024
REPUBLIQUE D'ESTONIE,Union européenne,export,2022,,,2024
REPUBLIQUE D'ESTONIE,Union européenne,export,2023,,,2024
REPUBLIQUE D'ESTONIE,Union européenne,export,2024,13,10,2024
REPUBLIQUE DE LETTONIE,Union européenne,export,2020,22,63,2024
REPUBLIQUE DE LETTONIE,Union européenne,export,2021,,,2024
REPUBLIQUE DE LETTONIE,Union européenne,export,2022,8,0,2024
REPUBLIQUE DE LETTONIE,Union européenne,export,2023,,,2024
REPUBLIQUE DE LETTONIE,Union européenne,export,2024,,,2024
REPUBLIQUE DE LITUANIE,Union européenne,export,2020,57,85,2024
REPUBLIQUE DE LITUANIE,Union européenne,export,2021,85,180,2024
REPUBLIQUE DE LITUANIE,Union européenne,export,2022,197,146,2024
REPUBLIQUE DE LITUANIE,Union européenne,export,2023,2668,22152,2024
REPUBLIQUE DE LITUANIE,Union européenne,export,2024,,,2024
REPUBLIQUE DE SLOVAQUIE,Union européenne,export,2020,129,51,2024
REPUBLIQUE DE SLOVAQUIE,Union européenne,export,2021,,,2024
REPUBLIQUE DE SLOVAQUIE,Union européenne,export,2022,7,1,2024
REPUBLIQUE DE SLOVAQUIE,Union européenne,export,2023,2,0,2024
REPUBLIQUE DE SLOVAQUIE,Union européenne,export,2024,60,2,2024
REPUBLIQUE TCHEQUE,Union européenne,export,2020,14,28,2024
REPUBLIQUE TCHEQUE,Union européenne,export,2021,9,2,2024
REPUBLIQUE TCHEQUE,Union européenne,export,2022,25,5,2024
REPUBLIQUE TCHEQUE,Union européenne,export,2023,13,1,2024
REPUBLIQUE TCHEQUE,Union européenne,export,2024,45,15,2024
ROUMANIE,Union européenne,export,2020,3,2,2024
ROUMANIE,Union européenne,export,2021,32,41,2024
ROUMANIE,Union européenne,export,2022,105,95,2024
ROUMANIE,Union européenne,export,2023,53,130,2024
ROUMANIE,Union européenne,export,2024,266,49,2024
ROYAUME UNI,Union européenne,export,2020,36181,81428,2024
ROYAUME UNI,Union européenne,export,2021,40863,108991,2024
ROYAUME UNI,Union européenne,export,2022,45762,128514,2024
ROYAUME UNI,Union européenne,export,2023,58614,137071,2024
ROYAUME UNI,Union européenne,export,2024,59021,132028,2024
SLOVENIE,Union européenne,export,2020,21,0,2024
SLOVENIE,Union européenne,export,2021,,,2024
SLOVENIE,Union européenne,export,2022,39,57,2024
SLOVENIE,Union européenne,export,2023,34,22,2024
SLOVENIE,Union européenne,export,2024,,,2024
SUEDE,Union européenne,export,2020,45,35,2024
SUEDE,Union européenne,export,2021,4744,18,2024
SUEDE,Union européenne,export,2022,201,205,2024
SUEDE,Union européenne,export,2023,91,136,2024
SUEDE,Union européenne,export,2024,9,8,2024
ALBANIE,Autres pays d'Europe,export,2020,807,307,2024
ALBANIE,Autres pays d'Europe,export,2021,202,183,2024
ALBANIE,Autres pays d'Europe,export,2022,34,26,2024
ALBANIE,Autres pays d'Europe,export,2023,775,661,2024
ALBANIE,Autres pays d'Europe,export,2024,606,414,2024
ANDORRE,Autres pays d'Europe,export,2020,,,2024
ANDORRE,Autres pays d'Europe,export,2021,,,2024
ANDORRE,Autres pays d'Europe,export,2022,17,20,2024
ANDORRE,Autres pays d'Europe,export,2023,,,2024
ANDORRE,Autres pays d'Europe,export,2024,,,2024
ARMENIE,Autres pays d'Europe,export,2020,,,2024
ARMENIE,Autres pays d'Europe,export,2021,,,2024
ARMENIE,Autres pays d'Europe,export,2022,374,1955,2024
ARMENIE,Autres pays d'Europe,export,2023,3,1,2024
ARMENIE,Autres pays d'Europe,export,2024,1,0,2024
BOSNIE-HERZEGOVINE,Autres pays d'Europe,export,2020,,,2024
BOSNIE-HERZEGOVINE,Autres pays d'Europe,export,2021,,,2024
BOSNIE-HERZEGOVINE,Autres pays d'Europe,export,2022,,,2024
BOSNIE-HERZEGOVINE,Autres pays d'Europe,export,2023,24,22,2024
BOSNIE-HERZEGOVINE,Autres pays d'Europe,export,2024,,,2024
GIBRALTAR,Autres pays d'Europe,export,2020,23,27,2024
GIBRALTAR,Autres pays d'Europe,export,2021,,,2024
GIBRALTAR,Autres pays d'Europe,export,2022,,,2024
GIBRALTAR,Autres pays d'Europe,export,2023,,,2024
GIBRALTAR,Autres pays d'Europe,export,2024,8161,16872,2024
HELGOLAND,Autres pays d'Europe,export,2020,2,3,2024
HELGOLAND,Autres pays d'Europe,export,2021,,,2024
HELGOLAND,Autres pays d'Europe,export,2022,15,0,2024
HELGOLAND,Autres pays d'Europe,export,2023,,,2024
HELGOLAND,Autres pays d'Europe,export,2024,,,2024
ISLANDE,Autres pays d'Europe,export,2020,480,294,2024
ISLANDE,Autres pays d'Europe,export,2021,531,80,2024
ISLANDE,Autres pays d'Europe,export,2022,503,70,2024
ISLANDE,Autres pays d'Europe,export,2023,1980,286,2024
ISLANDE,Autres pays d'Europe,export,2024,1601,153,2024
MONTENEGRO,Autres pays d'Europe,export,2020,,,2024
MONTENEGRO,Autres pays d'Europe,export,2021,42,108,2024
MONTENEGRO,Autres pays d'Europe,export,2022,383,310,2024
MONTENEGRO,Autres pays d'Europe,export,2023,179,52,2024
MONTENEGRO,Autres pays d'Europe,export,2024,3,0,2024
NORVEGE,Autres pays d'Europe,export,2020,31781,303586,2024
NORVEGE,Autres pays d'Europe,export,2021,42127,344141,2024
NORVEGE,Autres pays d'Europe,export,2022,61213,297922,2024
NORVEGE,Autres pays d'Europe,export,2023,31776,159008,2024
NORVEGE,Autres pays d'Europe,export,2024,50777,320595,2024
REPUBLIQUE D'AZERBADJAN,Autres pays d'Europe,export,2020,24,41,2024
REPUBLIQUE D'AZERBADJAN,Autres pays d'Europe,export,2021,,,2024
REPUBLIQUE D'AZERBADJAN,Autres pays d'Europe,export,2022,46,4,2024
REPUBLIQUE D'AZERBADJAN,Autres pays d'Europe,export,2023,7,2,2024
REPUBLIQUE D'AZERBADJAN,Autres pays d'Europe,export,2024,,,2024
REPUBLIQUE D'UKRAINE,Autres pays d'Europe,export,2020,1101,2565,2024
REPUBLIQUE D'UKRAINE,Autres pays d'Europe,export,2021,2784,6304,2024
REPUBLIQUE D'UKRAINE,Autres pays d'Europe,export,2022,3960,14219,2024
REPUBLIQUE D'UKRAINE,Autres pays d'Europe,export,2023,2013,6440,2024
REPUBLIQUE D'UKRAINE,Autres pays d'Europe,export,2024,610,1915,2024
REPUBLIQUE DE BIELORUSSIE,Autres pays d'Europe,export,2020,,,2024
REPUBLIQUE DE BIELORUSSIE,Autres pays d'Europe,export,2021,,,2024
REPUBLIQUE DE BIELORUSSIE,Autres pays d'Europe,export,2022,,,2024
REPUBLIQUE DE BIELORUSSIE,Autres pays d'Europe,export,2023,161,203,2024
REPUBLIQUE DE BIELORUSSIE,Autres pays d'Europe,export,2024,113,143,2024
REPUBLIQUE DE GEORGIE,Autres pays d'Europe,export,2020,118,98,2024
REPUBLIQUE DE GEORGIE,Autres pays d'Europe,export,2021,262,116,2024
REPUBLIQUE DE GEORGIE,Autres pays d'Europe,export,2022,321,76,2024
REPUBLIQUE DE GEORGIE,Autres pays d'Europe,export,2023,185,61,2024
REPUBLIQUE DE GEORGIE,Autres pays d'Europe,export,2024,384,278,2024
REPUBLIQUE DE KAZAKSTAN,Autres pays d'Europe,export,2020,,,2024
REPUBLIQUE DE KAZAKSTAN,Autres pays d'Europe,export,2021,0,0,2024
REPUBLIQUE DE KAZAKSTAN,Autres pays d'Europe,export,2022,,,2024
REPUBLIQUE DE KAZAKSTAN,Autres pays d'Europe,export,2023,5,2,2024
REPUBLIQUE DE KAZAKSTAN,Autres pays d'Europe,export,2024,,,2024
RUSSIE,Autres pays d'Europe,export,2020,78,260,2024
RUSSIE,Autres pays d'Europe,export,2021,269,616,2024
RUSSIE,Autres pays d'Europe,export,2022,1,0,2024
RUSSIE,Autres pays d'Europe,export,2023,16,19,2024
RUSSIE,Autres pays d'Europe,export,2024,7,23,2024
SUISSE,Autres pays d'Europe,export,2020,279599,58075,2024
SUISSE,Autres pays d'Europe,export,2021,414789,164586,2024
SUISSE,Autres pays d'Europe,export,2022,414439,18684,2024
SUISSE,Autres pays d'Europe,export,2023,391549,87579,2024
SUISSE,Autres pays d'Europe,export,2024,473387,166960,2024
TRIESTE,Autres pays d'Europe,export,2020,0,0,2024
TRIESTE,Autres pays d'Europe,export,2021,127,206,2024
TRIESTE,Autres pays d'Europe,export,2022,570,541,2024
TRIESTE,Autres pays d'Europe,export,2023,,,2024
TRIESTE,Autres pays d'Europe,export,2024,,,2024
TURQUIE,Autres pays d'Europe,export,2020,5242,6794,2024
TURQUIE,Autres pays d'Europe,export,2021,2835,5309,2024
TURQUIE,Autres pays d'Europe,export,2022,9233,10063,2024
TURQUIE,Autres pays d'Europe,export,2023,9261,8032,2024
TURQUIE,Autres pays d'Europe,export,2024,10176,11022,2024
BURUNDI,Afrique centrale,export,2020,51,46,2024
BURUNDI,Afrique centrale,export,2021,148,138,2024
BURUNDI,Afrique centrale,export,2022,93,156,2024
BURUNDI,Afrique centrale,export,2023,195,181,2024
BURUNDI,Afrique centrale,export,2024,395,73,2024
CAMEROUN,Afrique centrale,export,2020,17297,29557,2024
CAMEROUN,Afrique centrale,export,2021,15049,22723,2024
CAMEROUN,Afrique centrale,export,2022,18793,21773,2024
CAMEROUN,Afrique centrale,export,2023,20547,23336,2024
CAMEROUN,Afrique centrale,export,2024,16361,17876,2024
CENTRE AFRIQUE,Afrique centrale,export,2020,4497,1868,2024
CENTRE AFRIQUE,Afrique centrale,export,2021,2269,795,2024
CENTRE AFRIQUE,Afrique centrale,export,2022,1088,762,2024
CENTRE AFRIQUE,Afrique centrale,export,2023,3115,31,2024
CENTRE AFRIQUE,Afrique centrale,export,2024,243,18,2024
CONGO,Afrique centrale,export,2020,15745,11580,2024
CONGO,Afrique centrale,export,2021,20733,11523,2024
CONGO,Afrique centrale,export,2022,10780,11122,2024
CONGO,Afrique centrale,export,2023,10209,9104,2024
CONGO,Afrique centrale,export,2024,12757,10919,2024
CONGO DEMOCRATIQUE,Afrique centrale,export,2020,1992,1441,2024
CONGO DEMOCRATIQUE,Afrique centrale,export,2021,1704,950,2024
CONGO DEMOCRATIQUE,Afrique centrale,export,2022,2139,3754,2024
CONGO DEMOCRATIQUE,Afrique centrale,export,2023,3108,1451,2024
CONGO DEMOCRATIQUE,Afrique centrale,export,2024,2084,1516,2024
GABON,Afrique centrale,export,2020,3513,3823,2024
GABON,Afrique centrale,export,2021,8932,6753,2024
GABON,Afrique centrale,export,2022,9950,6688,2024
GABON,Afrique centrale,export,2023,9530,6238,2024
GABON,Afrique centrale,export,2024,6783,4431,2024
GUINEE EQUATORIALE,Afrique centrale,export,2020,2403,800,2024
GUINEE EQUATORIALE,Afrique centrale,export,2021,2501,933,2024
