chapitre,sens,annee,valeur,poids,edition
"Préparations de viandes, poissons, crustacés, mollusques",export,2022,46750,13904,2025
"Préparations de viandes, poissons, crustacés, mollusques",export,2023,47461,13591,2025
"Préparations de viandes, poissons, crustacés, mollusques",export,2024,67325,19609,2025
"Préparations de viandes, poissons, crustacés, mollusques",export,2025,37839,11643,2025
Sucres et sucreries,export,2021,3314,3649,2025
Sucres et sucreries,export,2022,3134,2738,2025
Sucres et sucreries,export,2023,2413,1527,2025
Sucres et sucreries,export,2024,2354,1777,2025
Sucres et sucreries,export,2025,2740,2626,2025
Cacao et ses préparations,export,2021,3310,3210,2025
Cacao et ses préparations,export,2022,4058,3259,2025
Cacao et ses préparations,export,2023,4255,3054,2025
Cacao et ses préparations,export,2024,5209,3630,2025
Cacao et ses préparations,export,2025,17928,4282,2025
"Préparations à base de céréales et dérivés, pâtisseries",export,2021,26441,25820,2025
"Préparations à base de céréales et dérivés, pâtisseries",export,2022,58172,67350,2025
"Préparations à base de céréales et dérivés, pâtisseries",export,2023,31496,24208,2025
"Préparations à base de céréales et dérivés, pâtisseries",export,2024,27603,19547,2025
"Préparations à base de céréales et dérivés, pâtisseries",export,2025,28856,18413,2025
"Préparations de légumes, de fruits ou d'autres parties de plantes",export,2021,7989,14930,2025
"Préparations de légumes, de fruits ou d'autres parties de plantes",export,2022,8838,23216,2025
"Préparations de légumes, de fruits ou d'autres parties de plantes",export,2023,7020,9128,2025
"Préparations de légumes, de fruits ou d'autres parties de plantes",export,2024,5234,7400,2025
"Préparations de légumes, de fruits ou d'autres parties de plantes",export,2025,8422,13142,2025
Préparations alimentaires diverses,export,2021,95262,90883,2025
Préparations alimentaires diverses,export,2022,117383,92734,2025
Préparations alimentaires diverses,export,2023,105834,78389,2025
Préparations alimentaires diverses,export,2024,113785,83293,2025
Préparations alimentaires diverses,export,2025,117810,88166,2025
"Boissons, liquides alcooliques et vinaigres",export,2021,10085,23498,2025
"Boissons, liquides alcooliques et vinaigres",export,2022,9616,18734,2025
"Boissons, liquides alcooliques et vinaigres",export,2023,13791,24711,2025
"Boissons, liquides alcooliques et vinaigres",export,2024,28695,55297,2025
"Boissons, liquides alcooliques et vinaigres",export,2025,33522,71842,2025
"Résidus, déchets des industries alimentaires, aliments préparés pour animaux",export,2021,4912,15351,2025
"Résidus, déchets des industries alimentaires, aliments préparés pour animaux",export,2022,7331,19678,2025
"Résidus, déchets des industries alimentaires, aliments préparés pour animaux",export,2023,11312,21806,2025
"Résidus, déchets des industries alimentaires, aliments préparés pour animaux",export,2024,13619,24848,2025
"Résidus, déchets des industries alimentaires, aliments préparés pour animaux",export,2025,8203,18981,2025
Tabacs et succédanés de tabacs fabriqués,export,2021,46400,5132,2025
Tabacs et succédanés de tabacs fabriqués,export,2022,27130,2837,2025
Tabacs et succédanés de tabacs fabriqués,export,2023,33926,2553,2025
Tabacs et succédanés de tabacs fabriqués,export,2024,36229,2652,2025
Tabacs et succédanés de tabacs fabriqués,export,2025,47691,3180,2025
"Sel, soufre, terres et pierres, plâtres, chaux et ciments",export,2021,127410,3458657,2025
"Sel, soufre, terres et pierres, plâtres, chaux et ciments",export,2022,162450,3034853,2025
"Sel, soufre, terres et pierres, plâtres, chaux et ciments",export,2023,193604,3590556,2025
"Sel, soufre, terres et pierres, plâtres, chaux et ciments",export,2024,202660,3916407,2025
"Sel, soufre, terres et pierres, plâtres, chaux et ciments",export,2025,190358,3833261,2025
"Minerais, scories et cendres",export,2021,150328,679787,2025
"Minerais, scories et cendres",export,2022,203589,598891,2025
"Minerais, scories et cendres",export,2023,146829,477861,2025
"Minerais, scories et cendres",export,2024,177565,719738,2025
"Minerais, scories et cendres",export,2025,157424,702475,2025
"Combustibles minéraux, huiles, cires minérales, matières bitumineuses",export,2021,447902,1376590,2025
"Combustibles minéraux, huiles, cires minérales, matières bitumineuses",export,2022,650440,1079577,2025
"Combustibles minéraux, huiles, cires minérales, matières bitumineuses",export,2023,692401,1256226,2025
"Combustibles minéraux, huiles, cires minérales, matières bitumineuses",export,2024,1256542,2839965,2025
"Combustibles minéraux, huiles, cires minérales, matières bitumineuses",export,2025,2504516,7497215,2025
"Produits chimiques inorganiques, composés de métaux ou radioactifs",export,2021,269869,489505,2025
"Produits chimiques inorganiques, composés de métaux ou radioactifs",export,2022,476808,569259,2025
"Produits chimiques inorganiques, composés de métaux ou radioactifs",export,2023,268849,506850,2025
"Produits chimiques inorganiques, composés de métaux ou radioactifs",export,2024,267670,506913,2025
"Produits chimiques inorganiques, composés de métaux ou radioactifs",export,2025,268792,425546,2025
Produits chimiques organiques,export,2021,5092,4950,2025
Produits chimiques organiques,export,2022,6542,4367,2025
Produits chimiques organiques,export,2023,5709,3503,2025
Produits chimiques organiques,export,2024,4648,3145,2025
Produits chimiques organiques,export,2025,5833,5289,2025
Produits pharmaceutiques,export,2021,1145,203,2025
Produits pharmaceutiques,export,2022,1041,241,2025
Produits pharmaceutiques,export,2023,1466,224,2025
Produits pharmaceutiques,export,2024,1929,207,2025
Produits pharmaceutiques,export,2025,2050,298,2025
Engrais,export,2021,33056,121970,2025
Engrais,export,2022,9318,30411,2025
Engrais,export,2023,37786,130509,2025
Engrais,export,2024,28818,67748,2025
Engrais,export,2025,61247,156701,2025
"Extraits tannants ou tinctoriaux, tanins, colorants, vernis, mastics, encres",export,2021,1314,967,2025
"Extraits tannants ou tinctoriaux, tanins, colorants, vernis, mastics, encres",export,2022,2682,2017,2025
"Extraits tannants ou tinctoriaux, tanins, colorants, vernis, mastics, encres",export,2023,2798,3853,2025
"Extraits tannants ou tinctoriaux, tanins, colorants, vernis, mastics, encres",export,2024,2769,1758,2025
"Extraits tannants ou tinctoriaux, tanins, colorants, vernis, mastics, encres",export,2025,2118,3135,2025
"Huiles essentielles, résinoïdes, produits de parfumerie, cosmétiques",export,2021,45789,28726,2025
"Huiles essentielles, résinoïdes, produits de parfumerie, cosmétiques",export,2022,55128,29510,2025
"Huiles essentielles, résinoïdes, produits de parfumerie, cosmétiques",export,2023,52024,25788,2025
"Huiles essentielles, résinoïdes, produits de parfumerie, cosmétiques",export,2024,46149,25052,2025
"Huiles essentielles, résinoïdes, produits de parfumerie, cosmétiques",export,2025,58650,28883,2025
"Savons, lubrifiants, cires artificielles, bougies, cires dentaires",export,2021,14754,20439,2025
"Savons, lubrifiants, cires artificielles, bougies, cires dentaires",export,2022,14182,18419,2025
"Savons, lubrifiants, cires artificielles, bougies, cires dentaires",export,2023,13066,16568,2025
"Savons, lubrifiants, cires artificielles, bougies, cires dentaires",export,2024,11383,15448,2025
"Savons, lubrifiants, cires artificielles, bougies, cires dentaires",export,2025,8969,12872,2025
"Matières albuminoïdes, préparations à base d'amidons ou fécules, colles",export,2021,469,220,2025
"Matières albuminoïdes, préparations à base d'amidons ou fécules, colles",export,2022,1133,742,2025
"Matières albuminoïdes, préparations à base d'amidons ou fécules, colles",export,2023,1179,495,2025
"Matières albuminoïdes, préparations à base d'amidons ou fécules, colles",export,2024,1682,749,2025
"Matières albuminoïdes, préparations à base d'amidons ou fécules, colles",export,2025,2125,1039,2025
"Poudres, explosifs, articles de pyrotechnie, allumettes, matières inflammables",export,2021,37,10,2025
"Poudres, explosifs, articles de pyrotechnie, allumettes, matières inflammables",export,2022,5,2,2025
"Poudres, explosifs, articles de pyrotechnie, allumettes, matières inflammables",export,2023,18,19,2025
"Poudres, explosifs, articles de pyrotechnie, allumettes, matières inflammables",export,2024,21,1,2025
"Poudres, explosifs, articles de pyrotechnie, allumettes, matières inflammables",export,2025,57,1,2025
Produits photographiques ou cinématographiques,export,2021,1,0,2025
Produits photographiques ou cinématographiques,export,2022,,,2025
Produits photographiques ou cinématographiques,export,2023,18,0,2025
Produits photographiques ou cinématographiques,export,2024,1,0,2025
Produits photographiques ou cinématographiques,export,2025,0,0,2025
Produits divers des industries chimiques,export,2021,10718,7381,2025
Produits divers des industries chimiques,export,2022,10271,5093,2025
Produits divers des industries chimiques,export,2023,10556,6039,2025
Produits divers des industries chimiques,export,2024,12825,5876,2025
Produits divers des industries chimiques,export,2025,10559,6670,2025
Matières plastiques et ouvrages en ces matières,export,2021,21545,27054,2025
Matières plastiques et ouvrages en ces matières,export,2022,24471,24554,2025
Matières plastiques et ouvrages en ces matières,export,2023,18924,18810,2025
Matières plastiques et ouvrages en ces matières,export,2024,18035,19188,2025
Matières plastiques et ouvrages en ces matières,export,2025,18490,19465,2025
Caoutchouc et ouvrages en caoutchouc,export,2021,4045,2526,2025
Caoutchouc et ouvrages en caoutchouc,export,2022,4419,1278,2025
Caoutchouc et ouvrages en caoutchouc,export,2023,5176,1286,2025
Caoutchouc et ouvrages en caoutchouc,export,2024,5567,1390,2025
Caoutchouc et ouvrages en caoutchouc,export,2025,15432,1810,2025
Peaux (autres que les pelleteries) et cuirs,export,2021,1964,1301,2025
Peaux (autres que les pelleteries) et cuirs,export,2022,1572,1364,2025
Peaux (autres que les pelleteries) et cuirs,export,2023,356,561,2025
Peaux (autres que les pelleteries) et cuirs,export,2024,68,152,2025
Peaux (autres que les pelleteries) et cuirs,export,2025,166,976,2025
"Ouvrages en cuir, articles de bourrellerie, sellerie, voyage ou en boyaux",export,2021,103,96,2025
"Ouvrages en cuir, articles de bourrellerie, sellerie, voyage ou en boyaux",export,2022,94,40,2025
"Ouvrages en cuir, articles de bourrellerie, sellerie, voyage ou en boyaux",export,2023,311,53,2025
"Ouvrages en cuir, articles de bourrellerie, sellerie, voyage ou en boyaux",export,2024,165,141,2025
"Ouvrages en cuir, articles de bourrellerie, sellerie, voyage ou en boyaux",export,2025,102,168,2025
"Pelleteries et fourrures, pelleteries factices",export,2021,0,0,2025
"Pelleteries et fourrures, pelleteries factices",export,2022,,,2025
"Pelleteries et fourrures, pelleteries factices",export,2023,,,2025
"Pelleteries et fourrures, pelleteries factices",export,2024,,,2025
"Pelleteries et fourrures, pelleteries factices",export,2025,,,2025
"Bois, charbon de bois et ouvrages en bois",export,2021,4918,40196,2025
"Bois, charbon de bois et ouvrages en bois",export,2022,3559,13775,2025
"Bois, charbon de bois et ouvrages en bois",export,2023,2505,3973,2025
"Bois, charbon de bois et ouvrages en bois",export,2024,1937,2922,2025
"Bois, charbon de bois et ouvrages en bois",export,2025,5573,2491,2025
Liège et ouvrages en liège,export,2021,0,2,2025
Liège et ouvrages en liège,export,2022,,,2025
Liège et ouvrages en liège,export,2023,0,1,2025
Liège et ouvrages en liège,export,2024,,,2025
Liège et ouvrages en liège,export,2025,0,2,2025
Ouvrages de sparterie ou de vannerie,export,2021,2244,1321,2025
Ouvrages de sparterie ou de vannerie,export,2022,2775,1559,2025
Ouvrages de sparterie ou de vannerie,export,2023,2547,1497,2025
Ouvrages de sparterie ou de vannerie,export,2024,2246,1274,2025
Ouvrages de sparterie ou de vannerie,export,2025,1556,912,2025
Matières cellulosiques servant à la fabrication du papier,export,2021,33,357,2025
Matières cellulosiques servant à la fabrication du papier,export,2022,239,1136,2025
Matières cellulosiques servant à la fabrication du papier,export,2023,,,2025
Matières cellulosiques servant à la fabrication du papier,export,2024,52,66,2025
Matières cellulosiques servant à la fabrication du papier,export,2025,22,133,2025
"Papiers et cartons, ouvrages en pâte de cellulose, en papier ou carton",export,2021,21202,31380,2025
"Papiers et cartons, ouvrages en pâte de cellulose, en papier ou carton",export,2022,11302,12984,2025
"Papiers et cartons, ouvrages en pâte de cellulose, en papier ou carton",export,2023,11900,24741,2025
"Papiers et cartons, ouvrages en pâte de cellulose, en papier ou carton",export,2024,10035,10722,2025
"Papiers et cartons, ouvrages en pâte de cellulose, en papier ou carton",export,2025,15413,16828,2025
"Produits d'édition, presse, arts graphiques, manuscrits, plans",export,2021,892,215,2025
"Produits d'édition, presse, arts graphiques, manuscrits, plans",export,2022,1204,223,2025
"Produits d'édition, presse, arts graphiques, manuscrits, plans",export,2023,873,196,2025
"Produits d'édition, presse, arts graphiques, manuscrits, plans",export,2024,1666,333,2025
"Produits d'édition, presse, arts graphiques, manuscrits, plans",export,2025,67771,464,2025
Soie,export,2021,,,2025
Soie,export,2022,10,9,2025
Soie,export,2023,21,13,2025
Soie,export,2024,,,2025
Soie,export,2025,0,0,2025
"Laine, poils fins ou grossiers, fils et tissus de crin",export,2021,,,2025
"Laine, poils fins ou grossiers, fils et tissus de crin",export,2022,,,2025
"Laine, poils fins ou grossiers, fils et tissus de crin",export,2023,,,2025
"Laine, poils fins ou grossiers, fils et tissus de crin",export,2024,,,2025
"Laine, poils fins ou grossiers, fils et tissus de crin",export,2025,,,2025
Coton,export,2021,9012,9155,2025
Coton,export,2022,12587,8946,2025
Coton,export,2023,8447,6005,2025
Coton,export,2024,6646,5647,2025
Coton,export,2025,6400,6378,2025
"Autres fibres textiles végétales, fils de papier, tissus de fils de papier",export,2021,2,1,2025
"Autres fibres textiles végétales, fils de papier, tissus de fils de papier",export,2022,0,0,2025
"Autres fibres textiles végétales, fils de papier, tissus de fils de papier",export,2023,,,2025
"Autres fibres textiles végétales, fils de papier, tissus de fils de papier",export,2024,7,11,2025
"Autres fibres textiles végétales, fils de papier, tissus de fils de papier",export,2025,2,10,2025
Filaments synthétiques ou artificiels,export,2021,1757,347,2025
Filaments synthétiques ou artificiels,export,2022,726,278,2025
Filaments synthétiques ou artificiels,export,2023,114,55,2025
Filaments synthétiques ou artificiels,export,2024,280,167,2025
Filaments synthétiques ou artificiels,export,2025,1126,416,2025
Fibres synthétiques ou artificielles discontinues,export,2021,22053,6659,2025
Fibres synthétiques ou artificielles discontinues,export,2022,23110,6115,2025
Fibres synthétiques ou artificielles discontinues,export,2023,24890,6229,2025
Fibres synthétiques ou artificielles discontinues,export,2024,23885,6867,2025
Fibres synthétiques ou artificielles discontinues,export,2025,23176,7116,2025
"Ouates, feutres, non tissés, fils spéciaux, ficelles, cordes, cordages, corderie",export,2021,1481,429,2025
"Ouates, feutres, non tissés, fils spéciaux, ficelles, cordes, cordages, corderie",export,2022,500,611,2025
"Ouates, feutres, non tissés, fils spéciaux, ficelles, cordes, cordages, corderie",export,2023,331,236,2025
"Ouates, feutres, non tissés, fils spéciaux, ficelles, cordes, cordages, corderie",export,2024,489,353,2025
"Ouates, feutres, non tissés, fils spéciaux, ficelles, cordes, cordages, corderie",export,2025,385,351,2025
Tapis et autres revêtements de sol en matières textiles,export,2021,31,78,2025
Tapis et autres revêtements de sol en matières textiles,export,2022,33,54,2025
Tapis et autres revêtements de sol en matières textiles,export,2023,13,16,2025
Tapis et autres revêtements de sol en matières textiles,export,2024,34,80,2025
Tapis et autres revêtements de sol en matières textiles,export,2025,30,131,2025
"Tissus spéciaux, dentelles, tapisseries, passementeries, broderies",export,2021,18,20,2025
"Tissus spéciaux, dentelles, tapisseries, passementeries, broderies",export,2022,1,2,2025
"Tissus spéciaux, dentelles, tapisseries, passementeries, broderies",export,2023,13,4,2025
"Tissus spéciaux, dentelles, tapisseries, passementeries, broderies",export,2024,14,2,2025
"Tissus spéciaux, dentelles, tapisseries, passementeries, broderies",export,2025,13,32,2025
"Tissus imprégnés, recouverts, stratifiés, articles techniques en textiles",export,2021,51,101,2025
"Tissus imprégnés, recouverts, stratifiés, articles techniques en textiles",export,2022,159,69,2025
"Tissus imprégnés, recouverts, stratifiés, articles techniques en textiles",export,2023,28,2,2025
"Tissus imprégnés, recouverts, stratifiés, articles techniques en textiles",export,2024,67,17,2025
"Tissus imprégnés, recouverts, stratifiés, articles techniques en textiles",export,2025,9,4,2025
Étoffes de bonneterie,export,2021,,,2025
Étoffes de bonneterie,export,2022,,,2025
Étoffes de bonneterie,export,2023,1,0,2025
Étoffes de bonneterie,export,2024,0,2,2025
Étoffes de bonneterie,export,2025,0,0,2025
"Vêtements et accessoires du vêtement, en bonneterie",export,2021,232,122,2025
"Vêtements et accessoires du vêtement, en bonneterie",export,2022,229,113,2025
"Vêtements et accessoires du vêtement, en bonneterie",export,2023,414,195,2025
"Vêtements et accessoires du vêtement, en bonneterie",export,2024,660,241,2025
"Vêtements et accessoires du vêtement, en bonneterie",export,2025,458,689,2025
"Vêtements et accessoires du vêtement, autres qu'en bonneterie",export,2021,314,321,2025
"Vêtements et accessoires du vêtement, autres qu'en bonneterie",export,2022,414,251,2025
"Vêtements et accessoires du vêtement, autres qu'en bonneterie",export,2023,801,489,2025
"Vêtements et accessoires du vêtement, autres qu'en bonneterie",export,2024,968,562,2025
"Vêtements et accessoires du vêtement, autres qu'en bonneterie",export,2025,4621,1146,2025
"Autres articles textiles confectionnés, assortiments, friperie et chiffons",export,2021,2659,2498,2025
"Autres articles textiles confectionnés, assortiments, friperie et chiffons",export,2022,1943,1064,2025
"Autres articles textiles confectionnés, assortiments, friperie et chiffons",export,2023,2931,1237,2025
