produit,sens,annee,valeur,poids,edition
Animaux vivants,export,2016,203,34,2020
Animaux vivants,export,2017,198,23,2020
Animaux vivants,export,2018,97,20,2020
Animaux vivants,export,2019,110,7,2020
Animaux vivants,export,2020,146,9,2020
Poisson frais de mer,export,2016,161833,186494,2020
Poisson frais de mer,export,2017,168559,206208,2020
Poisson frais de mer,export,2018,169030,213992,2020
Poisson frais de mer,export,2019,194145,274445,2020
Poisson frais de mer,export,2020,193606,309381,2020
"Crustacés, mollusques et coquillages",export,2016,49917,16416,2020
"Crustacés, mollusques et coquillages",export,2017,59740,17826,2020
"Crustacés, mollusques et coquillages",export,2018,91706,24683,2020
"Crustacés, mollusques et coquillages",export,2019,93966,27847,2020
"Crustacés, mollusques et coquillages",export,2020,52324,16862,2020
Légumes frais,export,2016,19161,29308,2020
Légumes frais,export,2017,22256,27861,2020
Légumes frais,export,2018,25190,35167,2020
Légumes frais,export,2019,25086,30485,2020
Légumes frais,export,2020,35635,39662,2020
Farine de froment,export,2016,2817,10668,2020
Farine de froment,export,2017,2838,11864,2020
Farine de froment,export,2018,3543,15163,2020
Farine de froment,export,2019,2622,11009,2020
Farine de froment,export,2020,2962,11912,2020
Arachides non grillées,export,2016,59967,133798,2020
Arachides non grillées,export,2017,46925,99721,2020
Arachides non grillées,export,2018,39538,109807,2020
Arachides non grillées,export,2019,111511,326909,2020
Arachides non grillées,export,2020,113684,266548,2020
Gomme arabique,export,2016,1322,3794,2020
Gomme arabique,export,2017,1475,3704,2020
Gomme arabique,export,2018,763,1606,2020
Gomme arabique,export,2019,714,2435,2020
Gomme arabique,export,2020,1463,4228,2020
Huile brute d'arachide,export,2016,14246,18285,2020
Huile brute d'arachide,export,2017,16575,19181,2020
Huile brute d'arachide,export,2018,23830,36341,2020
Huile brute d'arachide,export,2019,41317,62846,2020
Huile brute d'arachide,export,2020,6791,8455,2020
Huile raffinée d'arachide,export,2016,969,1258,2020
Huile raffinée d'arachide,export,2017,32,44,2020
Huile raffinée d'arachide,export,2018,,,2020
Huile raffinée d'arachide,export,2019,7,8,2020
Huile raffinée d'arachide,export,2020,,,2020
Conserves de poisson,export,2016,3336,1580,2020
Conserves de poisson,export,2017,6085,1963,2020
Conserves de poisson,export,2018,11744,3588,2020
Conserves de poisson,export,2019,40183,11705,2020
Conserves de poisson,export,2020,29827,10381,2020
Produits sucrés,export,2016,2430,2934,2020
Produits sucrés,export,2017,4740,6602,2020
