groupe,sens,annee,valeur,poids,edition
"Alimentation, boissons et tabacs",export,2016,481547,595821,2020
"Alimentation, boissons et tabacs",export,2017,528337,603792,2020
"Alimentation, boissons et tabacs",export,2018,583499,699983,2020
"Alimentation, boissons et tabacs",export,2019,647194,811401,2020
"Alimentation, boissons et tabacs",export,2020,584165,760095,2020
Énergie et lubrifiants,export,2016,166019,599846,2020
Énergie et lubrifiants,export,2017,258853,927193,2020
Énergie et lubrifiants,export,2018,318001,905355,2020
Énergie et lubrifiants,export,2019,487197,1359843,2020
Énergie et lubrifiants,export,2020,361592,1325988,2020
Matières premières animales et végétales,export,2016,92507,184793,2020
Matières premières animales et végétales,export,2017,81895,146299,2020
Matières premières animales et végétales,export,2018,83398,172819,2020
Matières premières animales et végétales,export,2019,168506,415785,2020
Matières premières animales et végétales,export,2020,135030,296560,2020
Matières premières minérales,export,2016,110438,1457317,2020
Matières premières minérales,export,2017,141422,1598251,2020
Matières premières minérales,export,2018,152831,1439808,2020
Matières premières minérales,export,2019,172142,1798102,2020
Matières premières minérales,export,2020,168196,1455444,2020
Autres demi-produits,export,2016,361454,3471121,2020
Autres demi-produits,export,2017,360559,3467400,2020
Autres demi-produits,export,2018,404241,2965149,2020
Autres demi-produits,export,2019,435925,2780534,2020
Autres demi-produits,export,2020,396160,2832469,2020
Produits finis destinés à l'agriculture,export,2016,105,32,2020
Produits finis destinés à l'agriculture,export,2017,281,128,2020
Produits finis destinés à l'agriculture,export,2018,474,2280,2020
Produits finis destinés à l'agriculture,export,2019,106,34,2020
Produits finis destinés à l'agriculture,export,2020,239,64,2020
Produits finis destinés à l'industrie,export,2016,34737,28496,2020
Produits finis destinés à l'industrie,export,2017,41027,13929,2020
Produits finis destinés à l'industrie,export,2018,34609,10085,2020
Produits finis destinés à l'industrie,export,2019,45427,16358,2020
Produits finis destinés à l'industrie,export,2020,57755,25568,2020
Produits finis destinés à la consommation,export,2016,111134,75480,2020
Produits finis destinés à la consommation,export,2017,117793,78148,2020
Produits finis destinés à la consommation,export,2018,125250,96067,2020
Produits finis destinés à la consommation,export,2019,114434,76095,2020
Produits finis destinés à la consommation,export,2020,135510,94633,2020
Or industriel,export,2016,193347,10,2020
Or industriel,export,2017,220144,12,2020
Or industriel,export,2018,313375,15,2020
Or industriel,export,2019,375734,16,2020
Or industriel,export,2020,422698,15,2020
"Alimentation, boissons et tabacs",import,2016,742794,2821750,2020
"Alimentation, boissons et tabacs",import,2017,921019,3419433,2020
"Alimentation, boissons et tabacs",import,2018,925982,3406690,2020
"Alimentation, boissons et tabacs",import,2019,907959,3131654,2020
"Alimentation, boissons et tabacs",import,2020,1039849,3499697,2020
Énergie et lubrifiants,import,2016,637524,3385797,2020
Énergie et lubrifiants,import,2017,857495,3749956,2020
Énergie et lubrifiants,import,2018,1254829,4551970,2020
Énergie et lubrifiants,import,2019,1235707,4532305,2020
Énergie et lubrifiants,import,2020,1041847,5056944,2020
Matières premières animales et végétales,import,2016,33218,59015,2020
Matières premières animales et végétales,import,2017,37145,74137,2020
Matières premières animales et végétales,import,2018,45584,92463,2020
Matières premières animales et végétales,import,2019,54862,121723,2020
Matières premières animales et végétales,import,2020,67690,150304,2020
Matières premières minérales,import,2016,58702,671461,2020
Matières premières minérales,import,2017,62479,685218,2020
Matières premières minérales,import,2018,90137,938064,2020
Matières premières minérales,import,2019,70282,770324,2020
Matières premières minérales,import,2020,58631,831941,2020
Autres demi-produits,import,2016,672851,1548824,2020
Autres demi-produits,import,2017,769554,1804280,2020
Autres demi-produits,import,2018,874824,2203078,2020
Autres demi-produits,import,2019,966121,2399849,2020
Autres demi-produits,import,2020,873962,2669701,2020
Produits finis destinés à l'agriculture,import,2016,20017,5596,2020
Produits finis destinés à l'agriculture,import,2017,9686,4157,2020
Produits finis destinés à l'agriculture,import,2018,26311,5514,2020
Produits finis destinés à l'agriculture,import,2019,20496,5512,2020
Produits finis destinés à l'agriculture,import,2020,12625,5065,2020
Produits finis destinés à l'industrie,import,2016,595422,186393,2020
Produits finis destinés à l'industrie,import,2017,741647,233910,2020
Produits finis destinés à l'industrie,import,2018,719522,269042,2020
Produits finis destinés à l'industrie,import,2019,890871,279311,2020
Produits finis destinés à l'industrie,import,2020,771772,259551,2020
Produits finis destinés à la consommation,import,2016,457358,345892,2020
Produits finis destinés à la consommation,import,2017,509003,407626,2020
Produits finis destinés à la consommation,import,2018,550027,445186,2020
Produits finis destinés à la consommation,import,2019,626763,554192,2020
Produits finis destinés à la consommation,import,2020,627801,515555,2020
Or industriel,import,2016,630,0,2020
Or industriel,import,2017,678,0,2020
Or industriel,import,2018,782,0,2020
Or industriel,import,2019,870,0,2020
Or industriel,import,2020,234,0,2020
