sens,mesure,annee,total,edition
export,valeur,2016,1551288,2020
export,valeur,2017,1750312,2020
export,valeur,2018,2015679,2020
export,valeur,2019,2446666,2020
export,valeur,2020,2261346,2020
export,poids,2016,6412917,2020
export,poids,2017,6835153,2020
export,poids,2018,6291560,2020
export,poids,2019,7258168,2020
export,poids,2020,6790837,2020
import,valeur,2016,3218515,2020
import,valeur,2017,3908706,2020
import,valeur,2018,4487999,2020
import,valeur,2019,4773932,2020
import,valeur,2020,4494412,2020
import,poids,2016,9024728,2020
import,poids,2017,10378717,2020
import,poids,2018,11912008,2020
import,poids,2019,11794868,2020
import,poids,2020,12988757,2020
